,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
112,radiantSpirit19,"Am a spirited, joyful, passionate, artistic, philosophical, spiritual human;",,91,47,7128,0,@annamalai_k @narendramodi @arivalayam do these guys want a polyglot well-versed in 20+ Indian languages at every evacuation point? pathetic probing!,[]
113,vishnuraj0302,"#MBA(Finance).
#Proprietor@Vignesh enterprises
#Not an supporter of any political party but purely hater of BJP.
#Follow=Followback; Unfollow =Unfollow",Chennai ,158,105,15400,0,Thank you @narendramodi ji for digital India #ModiDisasterForIndia https://t.co/lqjw2Ay6Cs,['ModiDisasterForIndia']
114,Ravinde07709628,Elect.  Engg.,"Jammu, Jammu & Kashmir, India",12,7,162,0,@DrVikasPadha @DrJitendraSingh @narendramodi @PMOIndia Good job 👍,[]
115,narendramodi2O,"⏩ Largest Fan Club of @narendramodi ji🇮🇳
⏩ Modi Once Again in 2024 🇮🇳
🔴 Dm to share your post.🔴
#EkBarPhirModiSarkar #NarendraModi #NarendraModi",,488,4818,49371,2,"#जनता_माँगे_जवाब

Union Govt Led By Mr. @narendramodi
Must Answer On  This 👇🏻

How Our (Tax Payers $ I Billion) Money
Been Allowed, Under The Nose Of The Govt, To Be Drained From Banks...?

What Did Govt's Law Enforcement Agencies Do So Far ?? https://t.co/x8ybmzhn1H",['जनता_माँगे_जवाब']
116,ajay_sngh,Software Architect by Profession..दिल से हिन्दुस्तानी ..Not from any 'Wing'..Because I can't fly..;),"Mississauga, Ontario,CA",26,116,18085,900,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
117,SATRAJITMUKHER9,"like new experiences, new ideas, innovative approaches.",,895,27,5214,694,Touched to receive these thoughtful greetings from ⁦@narendramodi⁩ ji. He is always gracious in making these gestures of courtesy &amp; kindness. 🙏 https://t.co/rdueFugZbN,[]
118,IdlyVadaa,"I love Idly & Vadaa more than my name! 
#BolnaHiHai #TheFreeVoice
Views are personal! 
Indian Man! 🙇",Union of states- India,3429,528,44577,0,"@tusharjunction @narendramodi What is the religious limitation? What's the obsession with a homogeneous culture? The whole point of India is that it is place where people from different religions, languages, cultures come together.  
Don't even get me started on the majority religious practices in schools.",[]
119,PriyankaJ2021,#justiceforssr #warrior4ssr #immortalssr #united4ssr,,2698,2693,238819,5,"All I WANT IS JUSTICE 4 SSR.

@ips_nupurprasad 
@SubodhJaiswal96 
@dopt @DoJ_India
@SCofInd  @rashtrapatibhvn 
@narendramodi 
@DrJitendraSingh
@KirenRijiju

CBI Stop Dragging SSR Case
Y No Justice 4 SSR Yet",[]
120,mahen97564961,Jai hind,,394,177,6336,276,Great decision by PM Sh. @narendramodi Ji. Educational institutions run on money but Education should always be affordable. Deserving candidates should not travel abroad to Study medical because of High fees. Congratulations Medical Aspirants! https://t.co/ICRU1lHhVc,[]
121,VardhanPoonam,,,7,12,1616,2,"UGC NET should revise its result considering 12% selection. Please think about unreserved candidates who did not clear the NET exam due to few marks.
@ugc_india @narendramodi @EduMinOfIndia",[]
122,RicardoYYZ,,𝚒𝚗 𝚝𝚛𝚊𝚗𝚜𝚒𝚝,41,1,2,0,@narendramodi Except the Indian youth in Ukraine. Be damned with them right? But don’t worry. You and Putin are good,[]
123,raj47601742,,,796,79,2360,18,"What has happened since @narendramodi came to power 

1. Middlemen/ Dalaal have disappeared. 

2. Scams have disappeared. 

3. Bomb Attacks across India stopped. 

4. Indian Mujahideen inactive or dead. 

5. Countless Nationalist Social Media channels, books getting prominence.",[]
124,dipalip01,Country 1st. Rest all later.,,88,1,327,66,"DAY - 786
Sir @narendramodi ji please free hindu temples from govt control. Some govts are using the funds to fulfil their own interests. I will tweet this everyday until some action taken. I believe in you!!
#FreeHinduTemples",[]
125,narendramodi2O,"⏩ Largest Fan Club of @narendramodi ji🇮🇳
⏩ Modi Once Again in 2024 🇮🇳
🔴 Dm to share your post.🔴
#EkBarPhirModiSarkar #NarendraModi #NarendraModi",,488,4818,49371,1,"Heart felt thanks to everyone, for this massive &amp; fast evacuation of Indians and international students from Ukraine. 
@narendramodi ji, @PMOIndia @MEAIndia @Gen_VKSingh @JM_Scindia @KirenRijiju @HardeepSPuri @opganga @IndiainUkraine https://t.co/zipvnDjhoB",[]
126,ashishranjanjee,"🚩 राष्ट्रहित 🙏 सर्वोपरि 🚩                                            

🚩 कार्यकर्ता - राष्ट्रीय स्वयंसेवक संघ ( 🚩 RSS 🚩 )","जहानाबाद , बिहार",99,131,25407,154,"The results of Assam municipal elections clearly underlines the unwavering faith people have in Shri @narendramodi’s politics of development &amp; the good governance of the state BJP Govt led by CM Shri @himantabiswa.

Congratulations to Team @BJP4Assam for this stupendous victory. https://t.co/E6MSmbT9rd",[]
127,RamesChaudhry,"MS Dhoni fan, Software Engineer, Likes and RTs not endorsements, Views are personal.",,229,431,16110,0,@Bibhuti1966 @himantabiswa @BJP4Assam @narendramodi How’s hemanta doing? Good? Like yogi?,[]
128,Wahidhussain_08,A boy with good character ❤,,31,1,3,0,@himantabiswa @BJP4Assam @narendramodi @himantabiswa  sir it's a great victory to the dibrugarh municipal election that out of 22 seats this year BJP has captured 21 seats it's an historic win 👍 conratulating all the candidates of dibrugarh,[]
129,shrda_nandan,"BJP  Social Media Incharge Distt. Kathua
Parbhari Kathua Constituency",Jammu And Kashmir,1357,1289,4331,11,"Student from J&amp;K (Talab Tillo, Jammu) thanking Hon’ble PM Sh. @narendramodi on his arrival to home town after Evacuation from Ukraine under #OperationGanga. https://t.co/iNiIcdo66w",[]
130,narendramodi2O,"⏩ Largest Fan Club of @narendramodi ji🇮🇳
⏩ Modi Once Again in 2024 🇮🇳
🔴 Dm to share your post.🔴
#EkBarPhirModiSarkar #NarendraModi #NarendraModi",,488,4818,49371,1,"Please save our nation from corruption, crime, casteism, communalism, conversion, poverty, illiteracy, unemployment, naxalism, separatism, radicalism, fundamentalism.
Please bring in the most stringent, effective &amp; updated laws
@narendramodi https://t.co/oUMkKARuNj",[]
131,Abhishe87860842,,,1262,310,75575,5,"Today the inclusive politics of Hon' @PMOIndia @NarendraModi ji &amp; Hon' @CMOfficeAssam @Himantabiswa da has triumphed over the politics of vote-bank and appeasement in #Assam.

History will remember, the beginning of #CONgress Mukta Bharat started from the #NE https://t.co/9d81eTuzaT",[]
132,Avnithakur56,,"Uttar Pradesh, India",275,193,10143,147,"Congratulations ....
The victory reflects the public trust on our alliance guided by the visionary leadership of Hon'ble Prime Minister Shri @narendramodi Ji, Hon'ble Chief Minister Shri Dr. @himantabiswa Ji and Team @BJP4Assam as well. https://t.co/IU9K1Ua6x5",[]
133,HemantaKrNeog,"| Proud Hindu | State Executive Member, BJP Assam | Ex- Gen Secy, Dibrugarh University PGSU | Ex-President, SCC of Assam | Ex- Member, SLAC, Govt of Assam|","Guwahati, Assam",7,231,2366,900,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
134,tops_kumar,Social worker,,197,128,9969,37,"Congratulations to all @BJP4Assam Karyakartas for massive win in #MunicipalElections.

This is result of efficient leadership, decisive policies &amp; hardwork of Sh. @himantabiswa Ji.

This mirrors people's faith in Hon PM @narendramodi Ji's vision of development of North-East. https://t.co/C1gGBOWiqG",['MunicipalElections']
135,narendramodi2O,"⏩ Largest Fan Club of @narendramodi ji🇮🇳
⏩ Modi Once Again in 2024 🇮🇳
🔴 Dm to share your post.🔴
#EkBarPhirModiSarkar #NarendraModi #NarendraModi",,488,4818,49371,2,"Heart felt thanks to everyone for this massive evacuation from Ukraine. 
@narendramodi
 ji, 
@PMOIndia
 
@MEAIndia
 
@Gen_VKSingh
 
@JM_Scindia
 
@KirenRijiju
 
@HardeepSPuri
 
@opganga
 
@IndiainUkraine https://t.co/TCam0W1CZv",[]
136,singh_meelu,"A proud Indian nationalist. A believer in positivity, optimism & growth. M Sc & MBA. Believes in greatness of India civilization. Satya Sanatan Dharma.","Punjab, India",162,318,43962,2613,"Interviews after interviews, our Tamil students who had returned from Ukraine are very clear with their truth! 

Their respect &amp; admiration for our Hon PM Shri @narendramodi avl is there for all to hear &amp; see. 

None of the usual @arivalayam ‘s rhetorics are working this time. https://t.co/3QCtq172sF",[]
137,Ajaysin06039643,वीर भोग्या वसुंधरा,,264,240,6539,900,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
138,AkshayAlva6,"Let us as proud Indians Play our active role in Nation Building by empowering the less fortunate ones by helping them to join the financial,economic Mainstream.","Mangaluru, Karnataka, India",883,169,3486,0,"Urge all the Ministers &amp; at least @BJP4India MLAs of @CMofKarnataka to give up ur Diesel SUVs &amp; adopt EVs as per the vision of @narendramodi @nitin_gadkari @amitabhk87 

Who will start ? 

@karkalasunil @ShobhaBJP @Tejasvi_Surya
@mepratap @CTRavi_BJP https://t.co/NTaSsawDsy",[]
139,sanjeeb603148,I love you mom,,46,12,3572,1013,"BJP's massive victory in the municipal elections of Assam shows that the public's confidence in PM Shri @narendramodi ji's ""Act East"" policy has been welcomed by the people of Assam.
 
I congratulate and thank the people of Assam, CM Shri @himantabiswa ,@BJP4Assam and its allies.",[]
140,HemantaKrNeog,"| Proud Hindu | State Executive Member, BJP Assam | Ex- Gen Secy, Dibrugarh University PGSU | Ex-President, SCC of Assam | Ex- Member, SLAC, Govt of Assam|","Guwahati, Assam",7,231,2366,0,@himantabiswa @BJP4Assam @narendramodi Congratulations to all for tremendous Victory,[]
141,s_s_r_sush,Photon in a double slit 💥,"Patna, India",492,341,4204,232,"We are losing our hopes from CBI day by day
Why are they even delaying Justice?
There are many evidences that indicate its a murder
We request our honourable PM @narendramodi ji to put up some pressure on the agency 🙏🏼

CBI Stop Dragging SSR Case
https://t.co/HQGUbX7Dk0 https://t.co/i3N0WP51wX",[]
142,Sapna800931,जय श्री राम 🙏😍,,622,1394,22514,147,"Congratulations ....
The victory reflects the public trust on our alliance guided by the visionary leadership of Hon'ble Prime Minister Shri @narendramodi Ji, Hon'ble Chief Minister Shri Dr. @himantabiswa Ji and Team @BJP4Assam as well. https://t.co/IU9K1Ua6x5",[]
143,RabiGedama,senior citizen interested to protect the environment through plantation of trees and work for the down trodden.,,306,47,7512,0,@ShashiTharoor @narendramodi Happy birthday and best wishes.,[]
144,D_K_Sandilya,SAP Consultant ! Nationalist ! Proud Indian ! Techie !,"Delhi NCR , India",2186,1296,33770,900,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
145,kattarahindu1,,,476,907,18130,129,"Congratulations to @BJP4Assam on the  glorious victory in the Municipal elections2022. This is the testimony of the dynamic  leadership of HCM Dr @himantabiswa ji in bringing about  all round development in Assam.
#MunicipalElection2022Assam
@narendramodi https://t.co/c3pnX4ruwO",[]
146,dbchudasamabjp,- महासचिव : भाजपा : भावनगर भावनगर.,"Bhavnagar, India",1283,983,12133,328,Live: PM Shri @narendramodi's remarks on Jan Aushadhi Diwas  #JanAushadhiDiwas  https://t.co/VfrZ1I0d5S,['JanAushadhiDiwas']
147,Avnithakur56,,"Uttar Pradesh, India",275,193,10143,276,Great decision by PM Sh. @narendramodi Ji. Educational institutions run on money but Education should always be affordable. Deserving candidates should not travel abroad to Study medical because of High fees. Congratulations Medical Aspirants! https://t.co/ICRU1lHhVc,[]
148,kattarahindu1,,,476,907,18130,131,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Hon'ble PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.
#AssamMunicipalResults
#ModiHaiToMumkinHai 
@blsanthosh https://t.co/Wqcl8KLW0f",['AssamMunicipalElection']
149,laxman_011,Social worker,,1138,840,11104,37,"Congratulations to all @BJP4Assam Karyakartas for massive win in #MunicipalElections.

This is result of efficient leadership, decisive policies &amp; hardwork of Sh. @himantabiswa Ji.

This mirrors people's faith in Hon PM @narendramodi Ji's vision of development of North-East. https://t.co/C1gGBOWiqG",['MunicipalElections']
150,SudeepaSahoo1,fun and spicy,,14,0,2,0,I need help @Naveen_Odisha @narendramodi @PMOIndia @cpbbsrctc @odisha_police @DGPOdisha @sunilbansalbjp @sprourkela beg everyone plz kindly help me,[]
151,shrda_nandan,"BJP  Social Media Incharge Distt. Kathua
Parbhari Kathua Constituency",Jammu And Kashmir,1357,1289,4331,8,"Glorious victory of #BJP in the #AssamMunicipalElection reflects reiteration of people's  faith, from across all sections, in PM Shri @narendramodi's inclusive vision of Sabka Saath, Sabka Vikas, Sabka Vishwas, Sabka Prayaas.
Congrats CM Sh @himantabiswa 
Congrats @BJP4Assam","['BJP', 'AssamMunicipalElection']"
152,sutanudbhaba,"এসে দাঁড়াও, হেসে দাঁড়াও এবং ভালোবেসে দাঁড়াও মানুষ বড় কাঁদছে, তুমি মানুষ হয়ে পাশে দাঁড়াও।",,52,0,76,1,"On behalf of habitant of Khejuri, I want to draw your attention about the very first postoffice of eastern India(1772) located in Khejuri,West Bengal.This age old post office is almost ruined.I request you to take necessary measure to preserve it as a heritage site.@narendramodi https://t.co/cTpjFs1T8Y",[]
153,Sandeep66245819,"Banker, Nation First, Suporter of Make in India..Follower Of PM Narendra Modi and CM Yogi Adityanath..",,146,295,44158,2084,"I bow my head in gratitude to the people of Assam for the thumping victory of candidates from @BJP4Assam &amp; its allies in the municipal elections.

The victory reflects the public trust on our alliance guided by the visionary leadership of Adarniya PM Shri @narendramodi ji. https://t.co/AU5nOSDwfc",[]
154,BibikaKshetrim1,,,17,3,1441,37,"Congratulations to all @BJP4Assam Karyakartas for massive win in #MunicipalElections.

This is result of efficient leadership, decisive policies &amp; hardwork of Sh. @himantabiswa Ji.

This mirrors people's faith in Hon PM @narendramodi Ji's vision of development of North-East. https://t.co/C1gGBOWiqG",['MunicipalElections']
155,Dharmocratic,Hindu civilizational nationalist. Trying to decolonialize. Sankriti gotram. Chelsea fan. Dharmo rakshati rakshitah 🚩 #FreeHinduTemples,Bhaaratavarsha ,1904,255,53866,2613,"Interviews after interviews, our Tamil students who had returned from Ukraine are very clear with their truth! 

Their respect &amp; admiration for our Hon PM Shri @narendramodi avl is there for all to hear &amp; see. 

None of the usual @arivalayam ‘s rhetorics are working this time. https://t.co/3QCtq172sF",[]
156,soni_choudhary1,भारत का अभिमान हिन्दू मातृभूमि की शान हिन्दू 🤟,,518,497,4621,900,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
157,DadakhalandarDK,12-02-1992,Kalyandurgam ,140,43,1342,118,"In past 7 years, number of MBBS seats increased from 80000-90000 to 1.5 lakh says @narendramodi interacting with #Students in #Varanasi.
#OperationGanga
https://t.co/FBIaME8gRn
These are the number of seats as per NMC website. https://t.co/6yfd5VTBdD",['Students']
158,chennai123,Union of India |INC Supporter | Dad| Husband| Son|Kerala Roots-Mallu|Alumnus of Loyola & KVIIT|Ex Xerox|Telecom|Retailer|Failed Entrepreneur|,"chennai,India",2663,2949,114757,61,"Current condition of the World's Largest #Secular #Democracy.
🇮🇳 #INDIA #NarendraModi #RSS #BJP #ElectionResults #ElectionCommissionOfIndia #DemocracyNotAutocracy #DemocracyInDanger #DemocracyMatters https://t.co/ECbkquqS3K https://t.co/Ia21TUsMtY","['Secular', 'Democracy', 'INDIA', 'NarendraModi', 'RSS', 'BJP', 'ElectionResults']"
159,raj_hitlar,,,11,260,16282,188,"Adarniya Pradhan Mantri Ji: Guided by your grand vision and robust roadmap for NE's progress, Assam has pursued the path of prosperity of all. BJP &amp; allies have been working relentlessly to address aspirations of people. Immensely blessed with your good wishes.

@narendramodi https://t.co/F7Z70qAI63",[]
160,Balaji_2020,,,353,22,3176,0,@annamalai_k @narendramodi @arivalayam Hope @savukku  @saravofcl @GunasekaranMu should understand and stop the rhetoric of trying to project as saviour of tamil people which is absolutely false and such false narrative has been exposed by students after students interviews.Students know the truth.,[]
161,vichoray,Proud Scientific Hindu and staunch supporter of RSS and PM Modi. Hard-core Nationalist,Nagpur,67,117,815,0,"#live #zeenews WTF..... If Zelenskyy wanted to think about all the 4 conditions of Russia, why did it go to war with Russia????? 

Zelenskyy learnt the hard way that NATO and western countries cannot be trusted, especially the US...... 

Good stand Modiji #NarendraModi #NATO","['live', 'zeenews', 'NarendraModi', 'NATO']"
162,DrjpreddyReddy,,"Nalgonda, India",69,199,14950,0,@ShashiTharoor @narendramodi Congratulations Sir for good wishes from Modi ji. Happy Birthday. Human touch is essential for politicians for good relations keeping politics aside. Great interaction.,[]
163,thebrajeshs,"🇮🇳भारत मेरा देश, भारत मेरी शान।हर हर महादेव!!🚩वन्दे मातरम्🇮🇳अखंड भारत🇮🇳RT doesn't mean endorsement! Tweet’s in likes",अखंड भारत,4540,9300,275659,5528,"On the eve of Women’s Day, interacted with recipients of the Nari Shakti Puraskar. We are very proud of their accomplishments and their efforts to serve society. 

https://t.co/lfJIr6A1nn https://t.co/wOlLHDeAW4",[]
164,taruntwr1,Be yourself. Be fearless.,,731,112,3084,0,@AmitLeliSlayer @MODIfiedVikas @narendramodi Wonder why people can't articulate their take without profanity . Speaks volumes of their low IQ &amp; improper upbringing,[]
165,SudarshanTheva3,MEMBER OF B.J.P. R.S.S. V.H.P since :1996             politics and spirituality is my two eye அரசியலும் ஆன்மீகமும் எனது இரு கண்கள் BHARATH MATHA KI  JAI,Mumbai India,228,503,140784,0,@himantabiswa @PMuralidharRao @BJP4Assam @Bhabesh_KalitaR @narendramodi Congratulations for the BJP haad won majority seats in municipal election in Assam pradesh https://t.co/wp959YKale,[]
166,MirzooA,,assam,2468,272,3037,43,PM @narendramodi is chairing a meeting to review the COVID-19 situation and public health response. https://t.co/kOIJjWBmmw,[]
167,RAJESHUP1909,योगः कर्मसु  कौशलम,"Kolkata, India",341,50,740,900,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
168,PTonsh,Hoping 2 contribute 2 society by doing my bit. Opinions are personal. Chnge begins witin U. RT is no endorsement. Nothng but ur will cn make it hapn :),Globetrotter,262,91,4585,2,"@jhavibha @nitin_gadkari @Tejasvi_Surya @PMOIndia @narendramodi @BellandurJothge @kdevforum @Dnekundi_rising @ECityRising @WFRising @KadubesanhalliR @Dkhallirising @TOIBengaluru No roads nr our community whr 1000s of ppl live. Upkar Meadows &amp; Celebrity Projects Kyalasanahalli Jigani. No street lights, potholes, roads built &amp; dug many times causing fatalities. No cabs &amp; auto rickshaws want 2 come. Women's health &amp; life at risk MLA Councilor missing @ANI",[]
169,pulki_bushu,Retweets are not endorsements.,"Houston, Texas, USA",2925,1782,111417,1,"@swamy39 sir, your statement that if you are not re-nominated to RS, then @narendramodi will not be PM for long.

Extremely curious as to what you are planning against the people of India who have elected him with full majority.

Isn't your statement undermining democracy?",[]
170,CHETAN_BHOPALI,FAN OF ✨@sidharth_shukla🦁💞 @ishehnaaz_gill💞 @ItsSSR @realsehajpal 💞#sidhearts💞#sidnaaz💞 #PratikFam,"Madhya Pradesh, India",32,81,3308,10,"SSR Man Of Principles✌️😊💝
JUSTICE ⚖️⚖️⚖️
@PMOIndia @narendramodi @AmitShah @JPNadda https://t.co/21kzmcQQBY",[]
171,maahi_ankit,ए हिंद तेरी सदा ही जय🇮🇳,"Deoria, Uttar Pradesh ",907,342,5679,2084,"I bow my head in gratitude to the people of Assam for the thumping victory of candidates from @BJP4Assam &amp; its allies in the municipal elections.

The victory reflects the public trust on our alliance guided by the visionary leadership of Adarniya PM Shri @narendramodi ji. https://t.co/AU5nOSDwfc",[]
172,VardhanPoonam,,,7,12,1616,5,"#Revise_NTANET_Result
Justice should be served to the students of NET exams 2021.
12% for two cycles isn't that hard to reckon.
@PMOIndia
@narendramodi 
@RahulGandhi 
@DG_NTA 
@TheHinduSports 
@ShashiTharoor",['Revise_NTANET_Result']
173,Sujjan48,,,167,68,5398,0,@annamalai_k @narendramodi Since ul won municipal seats from Kanyakumari now ul will shift base from Kongu land where ul lost badly,[]
174,sssak1995,"SAP Technical Consultant.
Classical Music Lover, Cool guy, Never mind, cooking interests. Lives in Present and never worry abt future.","Chennai, India",89,31,124,2613,"Interviews after interviews, our Tamil students who had returned from Ukraine are very clear with their truth! 

Their respect &amp; admiration for our Hon PM Shri @narendramodi avl is there for all to hear &amp; see. 

None of the usual @arivalayam ‘s rhetorics are working this time. https://t.co/3QCtq172sF",[]
175,RanjeetkrDass,"Minister For Panchayat & Rural Dev., Public Health Eng., Food, Civil Supplies & Consumer Affairs, Gen. Adm.","Assam, India",247,57387,7118,16,"Here are today’s #CabinetDecisions approved by the Union Cabinet, chaired by PM @narendramodi. https://t.co/1MIqqzWntj",['CabinetDecisions']
176,Marathibhan,"Animal lover.  Birdwatcher. Fitness freak. YouTube account- 
https://t.co/e2yIvaPnEM",Bharat,21,54,8166,2084,"I bow my head in gratitude to the people of Assam for the thumping victory of candidates from @BJP4Assam &amp; its allies in the municipal elections.

The victory reflects the public trust on our alliance guided by the visionary leadership of Adarniya PM Shri @narendramodi ji. https://t.co/AU5nOSDwfc",[]
177,Samrat567899,"Failure is not only disgrace, but practical proof of organic incompetence.",,497,35,1377,0,"@Sapodilla_ @Indian__doctor @drnutshell @PMOIndia @narendramodi Europe is the mother of modern nation state and nationalism.
The idea of nationalism came into India from the west only.
So,it's quite understandle that why they have so high and extreme level of patriotism and nationalism.

We are still too much divided.",[]
178,ankittahlawat,Delhi University | ABVP Delhi | Tennis-ATP TOUR | F1 Enthusiast | Supports @HeForShe | F.R.I.E.N.D.S. | H.I.M.Y.M. | LH44 | Developer | Follow: @MediaSwachh,India,4631,1547,7220,0,"Thank you Assam.

The ""Act east policy"" of BJP is bearing Fruits for the overall development of Assam and the North East India.

Many congratulations to the entire team of #BJP Assam Pradesh and the people of Assam for landslide victory in the local Body elections.

@narendramodi https://t.co/ch47011CFS",['BJP']
179,lakshmanapras16,living for Modiji 24 hours for his hardwork and dedication to development of india ❤️😍😍Following PM @narendramodi|National President @JPNadda|HM @AmitShah|,India,4547,708,187360,0,"@Vinay1011 @JM_Scindia @narendramodi I'm thinking and loving and living 24 hours for prime minister Narendra Modiji and home minister Amit Shahji. My heart full of them only. their name not only name, it's an emotional unconditional love. they always super,great,inspiration,sucess and one of the best human being,",[]
180,VKJspeaks,"Story teller, International Marketer, Interests in history, politics, Cricket, Equity & finance.Tweets are personal. RT not endorsements #DeereEmp",Lovely place,261,64,2939,0,@ShashiTharoor @narendramodi Time to work for nation building in the right party @ShashiTharoor,[]
181,MyNation_net,"MyNation Hope Foundation is a Registered NGO and Support Group for the Victims of Legal Terrorism, DV, Dowry Law [IPC 498A] , and Other Gender biased Laws,",Delhi - INDIA,427,5271,362370,19,"@SriRudyBABA @love_a_man @MyNation_net @rashtrapatibhvn @narendramodi @RahulGandhi @RajThakre09 @ThakreUddhav @ArvindKejriwal @BJP4India @INCIndia @theShivsena @RSS4India @AITCofficial @HMOIndia @ndtv @News24 @aajtak @ABPNewsTV @dna @republic @mid_day @mumbaimirror @Ani_News @BBC @nytimesworld @Independent @SkyNews @smritiirani @sharmarekha @SwatiJaiHind @fayedsouza @poojabeditweets @BDUTT @Nidhi @sagarikaghose @AnjaliB_ @MinistryWCD @NCWIndia @SheThePeople @sonal_mansingh @kapoors_s @dr_samirparikh @ManishJhaTweets @dr_chayanika @KirenRijiju @PMOIndia @DCsofIndia @cskkanu @myogiadityanath #CrimeByBharatkiLaxmi - 214

#CrimeHasNoGender
 #HelpMeMyNation
#UkraineRussianWar
#AntiLegalTerrorismDay

#UttarPradesh : A young man was murdered 4 years ago in Greater Noida.  Now the accused girl aka #AblaNari sentenced to 10 years in this case.

https://t.co/cEEVvx87Ml",[]
182,DilipAdhikary6,,,191,11,10,0,@narendramodi I love my India https://t.co/YaiXT72Rci,[]
183,madhuc430,"Nation First 🇮🇳 |
 Farmer | @bjp4narayanpet IT & Social Media Incharge | Cricket lover",Mahabubnagar,662,1420,42725,23,". @hunarhaat showcases the creative diversity of our Nation. You are mesmerised, awed by the vastness of talent which is abundantly spread all over!!
It also showcases the emphasis that @narendramodi govt is giving on rural empowerment!

Kudos to @naqvimukhtar Ji &amp; @MOMAIndia https://t.co/YZdp7jttWg",[]
184,serfulmondal2,,,1423,951,3512,0,"Need we say more? #DidiForPM  

#India #Politics #MamataBanerjee #khelahobe #modiji #narendramodi #election #trinamool #didi #FAM4TMC https://t.co/UpPCHmjM4S","['DidiForPM', 'India', 'Politics', 'MamataBanerjee', 'khelahobe', 'modiji', 'narendramodi', 'election', 'trinamool', 'didi', 'FAM4TMC']"
185,MyNation_net,"MyNation Hope Foundation is a Registered NGO and Support Group for the Victims of Legal Terrorism, DV, Dowry Law [IPC 498A] , and Other Gender biased Laws,",Delhi - INDIA,427,5271,362370,4,"@SriRudyBABA @love_a_man @MyNation_net @rashtrapatibhvn @narendramodi @RahulGandhi @RajThakre09 @ThakreUddhav @ArvindKejriwal @BJP4India @INCIndia @theShivsena @RSS4India @AITCofficial @HMOIndia @ndtv @News24 @aajtak @ABPNewsTV @dna @republic @mid_day @mumbaimirror @Ani_News @BBC @nytimesworld @Independent @SkyNews @smritiirani @sharmarekha @SwatiJaiHind @fayedsouza @poojabeditweets @BDUTT @Nidhi @sagarikaghose @AnjaliB_ @MinistryWCD @NCWIndia @SheThePeople @sonal_mansingh @kapoors_s @dr_samirparikh @ManishJhaTweets @dr_chayanika @KirenRijiju @PMOIndia @DCsofIndia @cskkanu @myogiadityanath #CrimeByBharatkiLaxmi - 216

#CrimeHasNoGender
 #HelpMeMyNation
#AntiLegalTerrorismDay

#Rajasthan : Due to illicit relationship with FIL, #AblaNari killed her husband 

https://t.co/s0dR9KbwQf",[]
186,Shriram17799591,,,171,12,12094,2613,"Interviews after interviews, our Tamil students who had returned from Ukraine are very clear with their truth! 

Their respect &amp; admiration for our Hon PM Shri @narendramodi avl is there for all to hear &amp; see. 

None of the usual @arivalayam ‘s rhetorics are working this time. https://t.co/3QCtq172sF",[]
187,gg_osiyan,"🚩कट्टर संघ संस्कारी💪 भक्त फरसे वाले दा ⛏️
 ¶ब्राह्मण™ 🚩                                        
 🙏◆ ओसियांजी ◆🙏
【 ☆धोनी ☆】",jodhpur raj.,4573,6494,83378,900,"The grand victory of @BJP4Assam in the #AssamMunicipalElection reflects the trust of all sections of the society in Adarniya PM Shri @narendramodi ji's vision of Sabka Saath, Sabka Vikas, Sabka Vishwas &amp; Sabka Prayaas.

Grateful to the people for this massive mandate. https://t.co/3fKsbUsoXt",['AssamMunicipalElection']
